name,datetime,Mean Area-Weighted Radiance
Guangzhou,2014/12/8,8.850348123
Guangzhou,2014/12/9,8.736470697
Guangzhou,2014/12/10,7.66246153
Guangzhou,2014/12/11,8.392486472
Guangzhou,2014/12/12,8.639417135
Guangzhou,2014/12/13,9.2624154
Guangzhou,2014/12/14,8.920575765
Guangzhou,2014/12/15,8.83835705
Guangzhou,2014/12/16,8.46753492
Guangzhou,2014/12/17,8.347077645
Guangzhou,2014/12/18,8.756200747
Guangzhou,2014/12/19,8.893366785
Guangzhou,2014/12/20,8.522997135
Guangzhou,2014/12/21,8.363057828
Guangzhou,2014/12/22,8.874665388
Guangzhou,2014/12/23,8.825082706
Guangzhou,2014/12/24,8.863662039
Guangzhou,2014/12/25,8.885812554
Guangzhou,2014/12/26,8.86677468
Guangzhou,2014/12/27,8.29594961
Guangzhou,2014/12/28,8.104856534
Guangzhou,2014/12/29,9.254566525
Guangzhou,2014/12/30,10.11721122
Guangzhou,2014/12/31,9.730877215
Guangzhou,2015/1/1,8.368318677
Guangzhou,2015/1/2,8.011999891
Guangzhou,2015/1/3,8.286353224
Guangzhou,2015/1/4,8.999601338
Guangzhou,2015/1/5,9.004456288
Guangzhou,2015/1/6,8.440205414
Guangzhou,2015/1/7,8.774285268
Guangzhou,2015/1/8,8.893801402
Guangzhou,2015/1/9,9.016092567
Guangzhou,2015/1/10,8.999193178
Guangzhou,2015/1/11,9.015849933
Guangzhou,2015/1/12,8.986274532
Guangzhou,2015/1/13,8.165906352
Guangzhou,2015/1/14,9.497270193
Guangzhou,2015/1/15,10.51607018
Guangzhou,2015/1/16,9.369528909
Guangzhou,2015/1/17,8.309972209
Guangzhou,2015/1/18,8.736116808
